,pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
55,48,Alberta,Alberta,09-03-2020,7,0,0.0,7,,,,,6,600.0,0.16,0.0,0.0,0.0,,,100.0,7.0,0.16,,,,,,,,
56,1,Canada,Canada,09-03-2020,77,0,1.0,77,,,,,15,24.19,0.2,0.0,0.0,1.3,,,98.7,76.0,0.2,,,,,,,,
57,59,British Columbia,Colombie-Britannique,11-03-2020,39,0,1.0,39,4373.0,,,862.0,0,0.0,0.77,0.02,0.0,2.56,4373.0,,97.44,38.0,0.75,,,,,,,,
58,48,Alberta,Alberta,11-03-2020,14,0,0.0,14,1969.0,,,450.0,0,0.0,0.32,0.0,0.0,0.0,1969.0,,100.0,14.0,0.32,,,,,,,,
59,47,Saskatchewan,Saskatchewan,11-03-2020,0,0,0.0,0,204.0,,,174.0,0,0.0,0.0,0.0,0.0,,204.0,,,,0.0,,,,,,,,
60,46,Manitoba,Manitoba,11-03-2020,0,0,0.0,0,352.0,,,257.0,0,0.0,0.0,0.0,0.0,,352.0,,,,0.0,,,,,,,,
61,35,Ontario,Ontario,11-03-2020,42,0,1.0,42,3394.0,,,233.0,8,23.53,0.29,0.01,1.0,2.38,3394.0,,97.62,41.0,0.28,,,,,,,,
62,24,Quebec,Québec,11-03-2020,7,0,0.0,7,556.0,,,66.0,3,75.0,0.08,0.0,0.0,0.0,556.0,,100.0,7.0,0.08,,,,,,,,
63,13,New Brunswick,Nouveau-Brunswick,11-03-2020,0,0,0.0,0,22.0,,,28.0,0,0.0,0.0,0.0,0.0,,22.0,,,,0.0,,,,,,,,
64,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,11-03-2020,0,0,0.0,0,44.0,,,84.0,0,0.0,0.0,0.0,0.0,,44.0,,,,0.0,,,,,,,,
65,12,Nova Scotia,Nouvelle-Écosse,11-03-2020,0,0,0.0,0,103.0,,,106.0,0,0.0,0.0,0.0,0.0,,103.0,,,,0.0,,,,,,,,
66,11,Prince Edward Island,Île-du-Prince-Édouard,11-03-2020,0,0,0.0,0,6.0,,,38.0,0,0.0,0.0,0.0,0.0,,6.0,,,,0.0,,,,,,,,
